Season,Player,Profile URL,Position,Current Club,Market Value,Flashscore Link
2018/2019,Ali Jemal,https://www.transfermarkt.com/ali-jemal/profil/spieler/221355,Goalkeeper,Al-Merrikh SC,€300k,https://www.flashscore.com/team/al-merreikh/4fY7z9K9/
2024/2025,Amanallah Memmiche,https://www.transfermarkt.com/amanallah-memmiche/profil/spieler/1063397,Amanallah Memmiche,Esperance Tunis,€800k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2023/2024,Amanallah Mjahed,https://www.transfermarkt.com/amanallah-mjahed/profil/spieler/1008462,Amanallah Mjahed,Esperance Tunis,€25k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2013/2014,Aminou Bouba,https://www.transfermarkt.com/aminou-bouba/profil/spieler/263233,Aminou Bouba,Real Kashmir FC,€100k,https://www.flashscore.com/team/real-kashmir/9eT3z8L4/
2021/2022,Anayo Iwuala,https://www.transfermarkt.com/anayo-iwuala/profil/spieler/686200,Left Winger,Al-Arabi SC (Kuwait),€900k,https://www.flashscore.com/team/al-arabi/3cX9y2M7/
2023/2024,Aziz Abid,https://www.transfermarkt.com/aziz-abid/profil/spieler/1008460,Left Winger,US Monastir,€150k,https://www.flashscore.com/team/us-monastir/7gW2x4J9/
2023/2024,Aziz Fellah,https://www.transfermarkt.com/aziz-fellah/profil/spieler/797780,Attacking Midfield,Esperance Tunis,€25k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Aziz Koudhai,https://www.transfermarkt.com/aziz-koudhai/profil/spieler/1359369,Centre-Back,Esperance Tunis,€25k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Bechir Ben Said,https://www.transfermarkt.com/bechir-ben-said/profil/spieler/348144,Goalkeeper,Esperance Tunis,€650k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2018/2019,Bilel Mejri,https://www.transfermarkt.com/bilel-mejri/profil/spieler/441208,Right Winger,Al-Akhdar SC,€400k,https://www.flashscore.com/team/al-akhdar/5hT8v4K6/
2024/2025,Bilel Sahli,https://www.transfermarkt.com/bilel-sahli/profil/spieler/710593,Second Striker,Esperance Tunis,,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2021/2022,Cedrik Gbo,https://www.transfermarkt.com/cedrik-gbo/profil/spieler/841501,Defensive Midfield,Etoile Sportive du Sahel,€250k,https://www.flashscore.com/team/etoile-sahel/9iY4z7M8/
2024/2025,Chiheb Jebali,https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,Attacking Midfield,Esperance Tunis,€1.00m,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Elias Mokwana,https://www.transfermarkt.com/elias-mokwana/profil/spieler/968496,Right Winger,Al-Hazem SC,€750k,https://www.flashscore.com/team/al-hazem/6hU2y9F7/
2024/2025,Elyas Bouzaiene,https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,Right-Back,Esperance Tunis,€300k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2016/2017,Elyes Jelassi,https://www.transfermarkt.com/elyes-jelassi/profil/spieler/292219,Attacking Midfield,Stade Tunisien,€250k,https://www.flashscore.com/team/stade-tunisien/4eY9z3K7/
2023/2024,Farouk Mimouni,https://www.transfermarkt.com/farouk-mimouni/profil/spieler/782597,Left Winger,Union Sportive de Ben Guerdane,€100k,https://www.flashscore.com/team/us-ben-guerdane/7eY9z3K7/
2021/2022,Fedi Ben Choug,https://www.transfermarkt.com/fedi-ben-choug/profil/spieler/415482,Attacking Midfield,Etoile Sportive du Sahel,€300k,https://www.flashscore.com/team/etoile-sahel/9iY4z7M8/
2017/2018,Ferjani Sassi,https://www.transfermarkt.com/ferjani-sassi/profil/spieler/191903,Central Midfield,Al-Gharafa SC,€1.60m,https://www.flashscore.com/team/al-gharafa/4gW8y2K9/
2022/2023,Fousseny Coulibaly,https://www.transfermarkt.com/fousseny-coulibaly/profil/spieler/291848,Centre-Back,Asswehly SC,€900k,https://www.flashscore.com/team/asswehly/7iY3z9M6/
2018/2019,Franck Kom,https://www.transfermarkt.com/franck-kom/profil/spieler/148518,Defensive Midfield,Emirates Club,€1.00m,https://www.flashscore.com/team/emirates-club/5hT8v4K6/
2023/2024,Ghaith Ouahabi,https://www.transfermarkt.com/ghaith-ouahabi/profil/spieler/1008453,Defensive Midfield,Dinamo Batumi,€450k,https://www.flashscore.com/team/dinamo-batumi/4gW8y2K9/
2021/2022,Ghassen Mahersi,https://www.transfermarkt.com/ghassen-mahersi/profil/spieler/1008452,Left-Back,ES Zarzis,€25k,https://www.flashscore.com/team/es-zarzis/6eY9z3K7/
2023/2024,Ghaylen Chaalali,https://www.transfermarkt.com/ghaylen-chaalali/profil/spieler/346776,Central Midfield,Al-Ahli SC,€900k,https://www.flashscore.com/team/al-ahli-tripoli/9hT8v4K6/
2020/2021,Hamdi Nagguez,https://www.transfermarkt.com/hamdi-nagguez/profil/spieler/272664,Hamdi Nagguez,Al-Shahania SC,€800k,https://www.flashscore.com/team/al-shahania/5fY7z9K9/
2022/2023,Hamdou El Houni,https://www.transfermarkt.com/hamdou-el-houni/profil/spieler/377605,Hamdou El Houni,Al-Ahli SC,€1.40m,https://www.flashscore.com/team/al-ahli-tripoli/9hT8v4K6/
2015/2016,Hamza Ben Cherifia,https://www.transfermarkt.com/hamza-ben-cherifia/profil/spieler/295380,Hamza Ben Cherifia,Etoile Sportive Metlaoui,,https://www.flashscore.com/team/es-metlaoui/8gW2x4J9/
2023/2024,Hamza Ghanmi,https://www.transfermarkt.com/hamza-ghanmi/profil/spieler/577882,Hamza Ghanmi,ES Zarzis,€175k,https://www.flashscore.com/team/es-zarzis/6eY9z3K7/
2024/2025,Hamza Jelassi,https://www.transfermarkt.com/hamza-jelassi/profil/spieler/244044,Hamza Jelassi,Esperance Tunis,€400k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Haythem Dhaou,https://www.transfermarkt.com/haythem-dhaou/profil/spieler/1402922,Left Winger,Esperance Tunis,€25k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2019/2020,Haythem Jouini,https://www.transfermarkt.com/haythem-jouini/profil/spieler/146519,Centre-Forward,Al-Quwa Al-Jawiya,€350k,https://www.flashscore.com/team/al-quwa-al-jawiya/3fX7y2J9/
2023/2024,Houssam Ghacha,https://www.transfermarkt.com/houssam-ghacha/profil/spieler/503035,Houssam Ghacha,USM Alger,€900k,https://www.flashscore.com/team/usm-alger/5gW2x8J7/
2022/2023,Houssem Dagdoug,https://www.transfermarkt.com/houssem-dagdoug/profil/spieler/487195,Centre-Back,Etoile Sportive du Sahel,€300k,https://www.flashscore.com/team/etoile-sahel/9iY4z7M8/
2024/2025,Houssem Tka,https://www.transfermarkt.com/houssem-tka/profil/spieler/581156,Central Midfield,Esperance Tunis,€1.20m,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Ibrahima Keita,https://www.transfermarkt.com/ibrahima-keita/profil/spieler/995279,Right-Back,Esperance Tunis,€150k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2015/2016,Ichaka Diarra,https://www.transfermarkt.com/ichaka-diarra/profil/spieler/274480,Centre-Back,Tadamon Sour,€75k,https://www.flashscore.com/team/tadamon-sour/3hU7y9F7/
2015/2016,Idriss Mhirsi,https://www.transfermarkt.com/idriss-mhirsi/profil/spieler/171755,Attacking Midfield,Union Sportive de Ben Guerdane,€650k,https://www.flashscore.com/team/us-ben-guerdane/7eY9z3K7/
2021/2022,Ilyes Chetti,https://www.transfermarkt.com/ilyes-chetti/profil/spieler/477834,Left-Back,USM Alger,€550k,https://www.flashscore.com/team/usm-alger/5gW2x8J7/
2024/2025,Jack Diarra,https://www.transfermarkt.com/jack-diarra/profil/spieler/1133779,Left Winger,Esperance Tunis,,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Kebba Sowe,https://www.transfermarkt.com/kebba-sowe/profil/spieler/669379,Centre-Forward,Esperance Tunis,€200k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Khalil Guenichi,https://www.transfermarkt.com/khalil-guenichi/profil/spieler/1023354,Defensive Midfield,Esperance Tunis,€500k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2018/2019,Khemais Maaouani,https://www.transfermarkt.com/khemais-maaouani/profil/spieler/474759,Defensive Midfield,Union Sportive de Ben Guerdane,€175k,https://www.flashscore.com/team/us-ben-guerdane/7eY9z3K7/
2021/2022,Kouadio Brou David Koffi,https://www.transfermarkt.com/kouadio-brou-david-koffi/profil/spieler/924164,Right Winger,ASEC Mimosas,€50k,https://www.flashscore.com/team/asec-mimosas/4hT8v4K6/
2024/2025,Koussay Maacha,https://www.transfermarkt.com/koussay-maacha/profil/spieler/1258261,Right Winger,Esperance Tunis,€200k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Koussay Smiri,https://www.transfermarkt.com/koussay-smiri/profil/spieler/1246844,Centre-Back,Al-Khor SC,€175k,https://www.flashscore.com/team/al-khor/3hU7y9F7/
2019/2020,Kwame Bonsu,https://www.transfermarkt.com/kwame-bonsu/profil/spieler/269558,Kwame Bonsu,Al-Jandal SC,€350k,https://www.flashscore.com/team/al-jandal/6hU2y9F7/
2024/2025,Larry Azouni,https://www.transfermarkt.com/larry-azouni/profil/spieler/204347,Central Midfield,Dibba Al-Hisn SC,€400k,https://www.flashscore.com/team/dibba-al-hisn/5iY3z9M6/
2020/2021,Maher Ben Seghaier,https://www.transfermarkt.com/maher-ben-seghaier/profil/spieler/403255,Left Winger,Etoile Sportive du Sahel,€150k,https://www.flashscore.com/team/etoile-sahel/9iY4z7M8/
2016/2017,Malek Miladi,https://www.transfermarkt.com/malek-miladi/profil/spieler/376085,Centre-Back,US Monastir,€125k,https://www.flashscore.com/team/us-monastir/7gW2x4J9/
2023/2024,Moez Ben Cherifia,https://www.transfermarkt.com/moez-ben-cherifia/profil/spieler/143581,Goalkeeper,AS Soliman,€500k,https://www.flashscore.com/team/as-soliman/5eY9z3K7/
2023/2024,Mohamed Ali Ben Hammouda,https://www.transfermarkt.com/mohamed-ali-ben-hammouda/profil/spieler/700169,Mohamed Ali Ben Hammouda,CR Belouizdad,€600k,https://www.flashscore.com/team/cr-belouizdad/4z0K7e9a/
2022/2023,Mohamed Ali Ben Romdhane,https://www.transfermarkt.com/mohamed-ali-ben-romdhane/profil/spieler/577881,Mohamed Ali Ben Romdhane,Al Ahly FC,€2.70m,https://www.flashscore.com/team/al-ahly/9gW2x4J9/
2022/2023,Mohamed Ali Yaakoubi,https://www.transfermarkt.com/mohamed-ali-yaakoubi/profil/spieler/134629,Mohamed Ali Yaakoubi,JS Kairouanaise,€200k,https://www.flashscore.com/team/js-kairouan/6gW2x4J9/
2024/2025,Mohamed Amine Ben Hamida,https://www.transfermarkt.com/mohamed-amine-ben-hamida/profil/spieler/454495,Mohamed Amine Ben Hamida,Esperance Tunis,€700k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Mohamed Amine Tougai,https://www.transfermarkt.com/mohamed-amine-tougai/profil/spieler/592396,Mohamed Amine Tougai,Esperance Tunis,€1.50m,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2017/2018,Mohamed Aziz Boucetta,https://www.transfermarkt.com/mohamed-aziz-boucetta/profil/spieler/581162,Mohamed Aziz Boucetta,AS Soliman,,https://www.flashscore.com/team/as-soliman/5eY9z3K7/
2024/2025,Mohamed Ben Ali,https://www.transfermarkt.com/mohamed-ben-ali/profil/spieler/290406,Mohamed Ben Ali,Esperance Tunis,€500k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2023/2024,Mohamed Mohieddine Aloui,https://www.transfermarkt.com/mohamed-mohieddine-aloui/profil/spieler/1264547,Mohamed Mohieddine Aloui,Union Sportive de Ben Guerdane,,https://www.flashscore.com/team/us-ben-guerdane/7eY9z3K7/
2024/2025,Mohamed Mouhli,https://www.transfermarkt.com/mohamed-mouhli/profil/spieler/433129,Mohamed Mouhli,Esperance Tunis,€300k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Mohamed Rayane Hamrouni,https://www.transfermarkt.com/mohamed-rayane-hamrouni/profil/spieler/1008449,Mohamed Rayane Hamrouni,Esperance Tunis,€200k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Mohamed Sedki Debchi,https://www.transfermarkt.com/mohamed-sedki-debchi/profil/spieler/572190,Mohamed Sedki Debchi,Esperance Tunis,€100k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Mokhtar Ifaoui,https://www.transfermarkt.com/mokhtar-ifaoui/profil/spieler/1370391,Goalkeeper,Esperance Tunis,,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2016/2017,Mondher Guesmi,https://www.transfermarkt.com/mondher-guesmi/profil/spieler/401849,Defensive Midfield,Al-Sadd,€100k,https://www.flashscore.com/team/al-sadd/3gW8y2K9/
2017/2018,Montassar Talbi,https://www.transfermarkt.com/montassar-talbi/profil/spieler/496706,Montassar Talbi,FC Lorient,€350k,https://www.flashscore.com/team/lorient/9iY4z7M8/
2024/2025,Mootez Zaddem,https://www.transfermarkt.com/mootez-zaddem/profil/spieler/750487,Central Midfield,Esperance Tunis,€400k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2023/2024,Mouhib Selmi,https://www.transfermarkt.com/mouhib-selmi/profil/spieler/782600,Centre-Forward,Avenir Sportif de Gabès,€50k,https://www.flashscore.com/team/as-gabes/6eY9z3K7/
2021/2022,Moussa Konaté,https://www.transfermarkt.com/moussa-konate/profil/spieler/192774,Centre-Forward,Bourges Foot 18,€1.80m,https://www.flashscore.com/team/bourges-18/7hT8v4K6/
2021/2022,Nassim Ben Khalifa,https://www.transfermarkt.com/nassim-ben-khalifa/profil/spieler/74288,Second Striker,Avispa Fukuoka,€400k,https://www.flashscore.com/team/avispa-fukuoka/4iY3z9M6/
2024/2025,Nidhal Laifi,https://www.transfermarkt.com/nidhal-laifi/profil/spieler/564882,Left-Back,Esperance Tunis,€550k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2018/2019,Noomen Rahmani,https://www.transfermarkt.com/noomen-rahmani/profil/spieler/645531,Left Winger,ES Zarzis,,https://www.flashscore.com/team/es-zarzis/6eY9z3K7/
2024/2025,Onuche Ogbelu,https://www.transfermarkt.com/onuche-ogbelu/profil/spieler/1015616,Central Midfield,Esperance Tunis,€700k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Oussema Bouguerra,https://www.transfermarkt.com/oussema-bouguerra/profil/spieler/479300,Left Winger,Esperance Tunis,€650k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2023/2024,Oussema Shili,https://www.transfermarkt.com/oussema-shili/profil/spieler/842994,Left-Back,Club Africain,€450k,https://www.flashscore.com/team/club-africain/3eY9z3K7/
2022/2023,Rached Arfaoui,https://www.transfermarkt.com/rached-arfaoui/profil/spieler/295377,Right Winger,Ghazl El Mahalla,€500k,https://www.flashscore.com/team/ghazl-el-mahalla/6iY3z9M6/
2024/2025,Raed Bouchniba,https://www.transfermarkt.com/raed-bouchniba/profil/spieler/1008461,Right-Back,Esperance Tunis,€650k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2019/2020,Rami Jeridi,https://www.transfermarkt.com/rami-jeridi/profil/spieler/122489,Rami Jeridi,Dynamic Herb Cebu FC,€400k,https://www.flashscore.com/team/cebu-fc/5iY3z9M6/
2023/2024,Riad Benayad,https://www.transfermarkt.com/riad-benayad/profil/spieler/416109,Centre-Forward,USM Alger,€450k,https://www.flashscore.com/team/usm-alger/5gW2x8J7/
2024/2025,Rodrigo Rodrigues,https://www.transfermarkt.com/rodrigo-rodrigues/profil/spieler/638262,Centre-Forward,Coritiba Foot Ball Club,€850k,https://www.flashscore.com/team/coritiba/3hU7y9F7/
2024/2025,Roger Aholou,https://www.transfermarkt.com/roger-aholou/profil/spieler/727208,Defensive Midfield,Al-Ittihad SC,€1.00m,https://www.flashscore.com/team/al-ittihad/9gW2x4J9/
2022/2023,Sabir Bougrine,https://www.transfermarkt.com/sabir-bougrine/profil/spieler/318904,Attacking Midfield,Raja Club Athletic,€700k,https://www.flashscore.com/team/raja-casablanca/7gW2x4J9/
2015/2016,Saliou Guindo,https://www.transfermarkt.com/saliou-guindo/profil/spieler/364854,Centre-Forward,FC Dinamo City,€50k,https://www.flashscore.com/team/dinamo-tirana/4hT8v4K6/
2016/2017,Sami Helal,https://www.transfermarkt.com/sami-helal/profil/spieler/206758,Sami Helal,AS Marsa,€50k,https://www.flashscore.com/team/as-marsa/5gW2x4J9/
2019/2020,Samuel Atvati,https://www.transfermarkt.com/samuel-atvati/profil/spieler/628191,Samuel Atvati,Abia Warriors FC,€175k,https://www.flashscore.com/team/abia-warriors/4iY3z9M6/
2013/2014,Seddik Mejri,https://www.transfermarkt.com/seddik-mejri/profil/spieler/304925,Centre-Back,EGS Gafsa,,https://www.flashscore.com/team/egs-gafsa/7eY9z3K7/
2023/2024,Shararh,https://www.transfermarkt.com/shararh/profil/spieler/677986,Right Winger,Al-Ramtha SC,€400k,https://www.flashscore.com/team/al-ramtha/5hT8v4K6/
2020/2021,Taha Yassine Khenissi,https://www.transfermarkt.com/taha-yassine-khenissi/profil/spieler/142252,Centre-Forward,Kuwait SC,€800k,https://www.flashscore.com/team/kuwait-sc/3iY3z9M6/
2019/2020,Tayeb Meziani,https://www.transfermarkt.com/tayeb-meziani/profil/spieler/373035,Right Winger,MC Algiers,€300k,https://www.flashscore.com/team/mc-alger/5gW2x8J7/
2020/2021,William Togui,https://www.transfermarkt.com/william-togui/profil/spieler/362291,William Togui,APR FC Kigali,€750k,https://www.flashscore.com/team/apr-fc/4hT8v4K6/
2024/2025,Yan Sasse,https://www.transfermarkt.com/yan-sasse/profil/spieler/469136,Right Winger,Esperance Tunis,€1.80m,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Yassine Meriah,https://www.transfermarkt.com/yassine-meriah/profil/spieler/306330,Centre-Back,Esperance Tunis,€1.20m,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Youcef Belaïli,https://www.transfermarkt.com/youcef-belaili/profil/spieler/175014,Left Winger,Esperance Tunis,€1.70m,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Younes Rached,https://www.transfermarkt.com/younes-rached/profil/spieler/849542,Left Winger,Esperance Tunis,€400k,https://www.flashscore.com/team/esperance-tunis/3bA5tN7b/
2024/2025,Youssef Abdelli,https://www.transfermarkt.com/youssef-abdelli/profil/spieler/700702,Centre-Forward,US Monastir,€400k,https://www.flashscore.com/team/us-monastir/7gW2x4J9/
2023/2024,Zied Berrima,https://www.transfermarkt.com/zied-berrima/profil/spieler/645530,Centre-Forward,Club Athlétique Bizertin,€50k,https://www.flashscore.com/team/ca-bizertin/7eY9z3K7/
2016/2017,Zied Ounalli,https://www.transfermarkt.com/zied-ounalli/profil/spieler/215828,Left Winger,US Tataouine,€200k,https://www.flashscore.com/team/us-tataouine/6gW2x4J9/
2024/2025,Zinedine Kada,https://www.transfermarkt.com/zinedine-kada/profil/spieler/1248972,Centre-Forward,JS Kairouanaise,€150k,https://www.flashscore.com/team/js-kairouan/6gW2x4J9/
2017/2018,Änis Ben-Hatira,https://www.transfermarkt.com/anis-ben-hatira/profil/spieler/35872,Right Winger,Hertha BSC II,€400k,https://www.flashscore.com/team/hertha-berlin-ii/4hT8v4K6/
