name,season,jersey_number,age,height,position,nationality,market_value,profile_url,image_url
Elyas Bouzaiene,2025/2026,25,28,"1,80 m",Right-Back,Sweden,€300k,https://www.transfermarkt.com/elyas-bouzaiene/profil/spieler/369308,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Ibrahima Keita,2025/2026,3,23,"1,81 m",Right-Back,Mauritania,€150k,https://www.transfermarkt.com/ibrahima-keita/profil/spieler/995279,https://img.a.transfermarkt.technology/portrait/header/995279-1706647545.jpg?lm=1
Khalil Guenichi,2025/2026,38,22,"1,88 m",Defensive Midfield,Tunisia,€500k,https://www.transfermarkt.com/khalil-guenichi/profil/spieler/1023354,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Houssem Tka,2025/2026,8,25,"1,75 m",Central Midfield,Tunisia,€1.20m,https://www.transfermarkt.com/houssem-tka/profil/spieler/581156,https://img.a.transfermarkt.technology/portrait/header/581156-1624211296.jpg?lm=1
Onuche Ogbelu,2025/2026,14,22,"1,85 m",Central Midfield,Nigeria,€700k,https://www.transfermarkt.com/onuche-ogbelu/profil/spieler/1015616,https://img.a.transfermarkt.technology/portrait/header/1015616-1679682942.jpg?lm=1
Mohamed Wael Derbali,2025/2026,4,22,"1,89 m",Central Midfield,Tunisia,€600k,https://www.transfermarkt.com/mohamed-wael-derbali/profil/spieler/946783,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Zakaria El Ayeb,2025/2026,17,22,"1,88 m",Central Midfield,Tunisia,€300k,https://www.transfermarkt.com/zakaria-el-ayeb/profil/spieler/1063396,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Chiheb Jebali,2025/2026,36,29,"1,76 m",Attacking Midfield,Tunisia,€1.00m,https://www.transfermarkt.com/chiheb-jebali/profil/spieler/295409,https://img.a.transfermarkt.technology/portrait/header/295409-1641374666.png?lm=1
Abdramane Konaté,2025/2026,21,19,"1,68 m",Attacking Midfield,Cote d'Ivoire,€850k,https://www.transfermarkt.com/abdramane-konate/profil/spieler/1099653,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Mohamed Mouhli,2025/2026,37,26,"1,79 m",Attacking Midfield,Belgium,€300k,https://www.transfermarkt.com/mohamed-mouhli/profil/spieler/433129,https://img.a.transfermarkt.technology/portrait/header/433129-1713878887.jpg?lm=1
Aziz Fellah,2025/2026,,23,"1,75 m",Attacking Midfield,Tunisia,€50k,https://www.transfermarkt.com/aziz-fellah/profil/spieler/797780,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Youcef Belaïli,2025/2026,11,33,"1,79 m",Left Winger,Algeria,€1.70m,https://www.transfermarkt.com/youcef-belaili/profil/spieler/175014,https://img.a.transfermarkt.technology/portrait/header/175014-1743953300.jpg?lm=1
Oussema Bouguerra,2025/2026,,26,"1,83 m",Left Winger,Tunisia,€650k,https://www.transfermarkt.com/oussema-bouguerra/profil/spieler/479300,https://img.a.transfermarkt.technology/portrait/header/479300-1641374894.png?lm=1
Younes Rached,2025/2026,28,26,,Left Winger,Tunisia,€400k,https://www.transfermarkt.com/younes-rached/profil/spieler/849542,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Mohamed Rayane Hamrouni,2025/2026,39,22,"1,81 m",Left Winger,Tunisia,€200k,https://www.transfermarkt.com/mohamed-rayane-hamrouni/profil/spieler/1008449,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Haythem Dhaou,2025/2026,18,20,"1,63 m",Left Winger,Tunisia,€25k,https://www.transfermarkt.com/haythem-dhaou/profil/spieler/1402922,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Jack Diarra,2025/2026,34,19,"1,74 m",Left Winger,Burkina Faso,-,https://www.transfermarkt.com/jack-diarra/profil/spieler/1133779,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Yan Sasse,2025/2026,10,28,"1,73 m",Right Winger,Brazil,€1.80m,https://www.transfermarkt.com/yan-sasse/profil/spieler/469136,https://img.a.transfermarkt.technology/portrait/header/469136-1579457572.jpeg?lm=1
Kouceila Boualia,2025/2026,7,24,"1,77 m",Right Winger,Algeria,€600k,https://www.transfermarkt.com/kouceila-boualia/profil/spieler/848796,https://img.a.transfermarkt.technology/portrait/header/848796-1731012549.jpg?lm=1
Koussay Maacha,2025/2026,30,18,"1,78 m",Right Winger,Tunisia,€200k,https://www.transfermarkt.com/koussay-maacha/profil/spieler/1258261,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Bilel Sahli,2025/2026,,21,"1,86 m",Second Striker,France,-,https://www.transfermarkt.com/bilel-sahli/profil/spieler/710593,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Achref Jabri,2025/2026,19,23,"1,80 m",Centre-Forward,Tunisia,€500k,https://www.transfermarkt.com/achref-jabri/profil/spieler/1180073,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Ahmed Bouassida,2025/2026,33,21,"1,92 m",Centre-Forward,Tunisia,€275k,https://www.transfermarkt.com/ahmed-bouassida/profil/spieler/1161133,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
Aboubacar Diakité,2025/2026,29,18,"1,80 m",Centre-Forward,Mali,€75k,https://www.transfermarkt.com/aboubacar-diakite/profil/spieler/1346971,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1
